1,Dallas Seavey,8d 13h 4m 19s,Willow Alaska,$50400.00
2,Aliy Zirkle,8d 13h 6m 41s,Two Rivers Alaska,$47600.00
3,Mitch Seavey,8d 16h 39m 40s,Seward Alaska,$44900.00
4,Joar Leifseth Ulsom,8d 19h 1m 1s,Mo i Rana NORWAY,$42400.00
5,Sonny Lindner,8d 20h 50m 49s,Two Rivers Alaska,$39900.00
6,Martin Buser,9d 0h 58m 58s,Big Lake Alaska,$37500.00
7,Jessie Royer,9d 4h 3m 25s,Darby MT,$35300.00
8,Ray Redington Jr,9d 4h 11m 10s,Wasilla Alaska,$33100.00
9,Hans Gatt,9d 4h 40m 25s,Whitehorse YT CANADA,$31000.00
10,Aaron Burmeister,9d 5h 46m 14s,Nome Alaska,$29000.00
11,Michael Williams Jr.,9d 11h 50m 2s,Akiak Alaska,$27000.00
12,Ken Anderson,9d 14h 27m 8s,Fairbanks Alaska,$25200.00
13,Peter Kaiser,9d 15h 28m 30s,Bethel Alaska,$23400.00
14,Richie Diehl,9d 16h 35m 40s,Aniak Alaska,$21700.00
15,Matt Failor,9d 16h 42m 30s,Willow Alaska,$20000.00
16,Wade Marrs,9d 17h 27m 35s,Wasilla Alaska,$18400.00
17,Nathan Schroeder,9d 17h 52m 51s,Yes,Chisholm MN,$16900.00
18,Abbie West,9d 17h 58m 25s,Yes,Two Rivers Alaska,$15500.00
19,John Baker,9d 18h 19m 15s,Kotzebue Alaska,$14100.00
20,Michelle Phillips,9d 18h 55m 0s,Tagish YT CANADA,$12700.00
21,Robert Sorlie,9d 20h 23m 26s,Hurdal NORWAY,$11400.00
22,Ralph Johannessen,10d 3h 45m 50s,Yes,Dagali NORWAY,$10200.00
23,Curt Perano,10d 3h 57m 40s,Central Otago NEW ZEALAND,$9000.00
24,Cim Smyth,10d 4h 11m 22s,Big Lake Alaska,$7900.00
25,Paige Drobny,10d 4h 42m 26s,Fairbanks Alaska,$6800.00
26,Rick Casillo,10d 16h 53m 22s,Willow Alaska,$5700.00
27,Allen Moore,10d 17h 27m 45s,Two Rivers Alaska,$4700.00
28,Paul Gebhardt,10d 18h 27m 32s,Kasilof Alaska,$3700.00
29,Mats Pettersson,10d 18h 32m 5s,Yes,Kiruna SWEDEN,$2800.00
30,Kristy Berington,10d 19h 20m 26s,Kasilof Alaska,$1900.00
31,Dan Kaduce,10d 20h 41m 3s,Chatanika Alaska,$1049.00
32,Katherine Keith,10d 20h 43m 15s,Yes,Kotzebue Alaska,$1049.00
33,Justin Savidis,10d 21h 18m 24s,Willow Alaska,$1049.00
34,Jason Mackey,10d 21h 29m 20s,Wasilla Alaska,$1049.00
35,Danny Seavey,10d 22h 17m 41s,Seward Alaska,$1049.00
36,Karin Hendrickson,10d 22h 23m 10s,Wasilla Alaska,$1049.00
37,Travis Beals,11d 3h 18m 38s,Seward Alaska,$1049.00
38,Christian Turner,11d 4h 52m 30s,Yes,Karratha WA AUSTRALIA,$1049.00
39,Anna Berington,11d 14h 15m 22s,Kasilof Alaska,$1049.00
40,Mike Ellis,11d 14h 55m 2s,Two Rivers Alaska,$1049.00
41,Charley Bejna,11d 18h 1m 10s,Yes,Addison IL,$1049.00
42,Robert Bundtzen,11d 20h 23m 18s,Anchorage Alaska,$1049.00
43,Newton Marshall,12d 1h 5m 52s,St. Anne JAMAICA,$1049.00
44,Tommy Jordbrudal,12d 11h 24m 38s,Yes,Longyearbyen NORWAY,$1049.00
45,Yvonne Dabakk,12d 11h 31m 12s,Yes,Oslo NORWAY,$1049.00
46,Alex Buetow,12d 13h 28m 10s,Yes,Fairbanks Alaska,$1049.00
47,Monica Zappa,13d 4h 8m 15s,Yes,Kasilof Alaska,$1049.00
48,Lisbet Norris,13d 4h 41m 33s,Yes,Willow Alaska,$1049.00
49,Marcelle Fressineau,13d 4h 42m 8s,Yes,Whitehorse YT CANADA,$1049.00
